x,Year,CEPCI,"Curve1, USD/t",2021_$/kg,,,,Year,CEPCI,source
2015.8858,2015,556.8,23800,30.29712644,,,,2025,810.4,https://www.chemengonline.com/plant-cost-index-beta/
2015.8924,2015,556.8,23717,30.19146839,,,,2024,800,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2015.9677,2015,556.8,22800,29.02413793,,,,2023,797.9,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.0084,2016,541.7,24600,32.18844379,,,,2022,816,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.0985,2016,541.7,22709,29.71412073,,,,2021,708.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.2844,2016,541.7,22800,29.8331918,,,,2020,596.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.3253,2016,541.7,22800,29.8331918,,,,2019,607.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.3687,2016,541.7,23717,31.03306184,,,,2018,603.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.4682,2016,541.7,23800,31.14166513,,,,2017,567.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.56,2016,541.7,25400,33.23522245,,,,2016,541.7,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.6129,2016,541.7,26489,34.6601499,,,,2015,556.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2016.7029,2016,541.7,26200,34.28200111,,,,,,
2016.7742,2016,541.7,27800,36.37555843,,,,,,
2016.8443,2016,541.7,29009,37.95750268,,,,,,
2016.9374,2016,541.7,30200,39.51589441,,,,,,
2016.978,2016,541.7,32400,42.39453572,,,,,,
2017.011,2017,567.5,33797,42.21200634,,,,,,
2017.0697,2017,567.5,34200,42.71534802,,,,,,
2017.0898,2017,567.5,36600,45.7129163,,,,,,
2017.1004,2017,567.5,39844,49.76462943,,,,,,
2017.1197,2017,567.5,42400,52.95703965,,,,,,
2017.1762,2017,567.5,51184,63.92813956,,,,,,
2017.302,2017,567.5,55000,68.69427313,,,,,,
2017.3224,2017,567.5,55600,69.4436652,,,,,,
2017.3301,2017,567.5,54963,68.64806062,,,,,,
2017.4969,2017,567.5,59247,73.99872,,,,,,
2017.506,2017,567.5,57800,72.19143612,,,,,,
2017.6385,2017,567.5,59751,74.62820934,,,,,,
2017.6999,2017,567.5,59400,74.18981498,,,,,,
2017.7672,2017,567.5,59499,74.31346467,,,,,,
2017.7814,2017,567.5,61600,76.9375859,,,,,,
2017.8953,2017,567.5,64539,80.60835806,,,,,,
2017.9136,2017,567.5,66200,82.68292511,,,,,,
2017.9331,2017,567.5,70838,88.47572581,,,,,,
2017.9633,2017,567.5,77000,96.17198238,,,,,,
2018.0225,2018,603.1,76382,89.76879721,,,,,,
2018.1248,2018,603.1,81926,96.28444503,,,,,,
2018.1362,2018,603.1,83800,98.48688443,,,,,,
2018.1886,2018,603.1,86462,101.6154296,,,,,,
2018.2135,2018,603.1,92761,109.0183996,,,,,,
2018.3427,2018,603.1,89737,105.4644099,,,,,,
2018.4075,2018,603.1,86210,101.3192638,,,,,,
2018.4598,2018,603.1,79910,93.91511855,,,,,,
2018.5054,2018,603.1,72600,85.32395954,,,,,,
2018.5121,2018,603.1,73610,86.5109733,,,,,,
2018.5643,2018,603.1,67563,79.40416913,,,,,,
2018.5986,2018,603.1,63000,74.0414525,,,,,,
2018.6549,2018,603.1,64035,75.25784779,,,,,,
2018.7713,2018,603.1,59247,69.6306974,,,,,,
2018.8361,2018,603.1,56223,66.07670768,,,,,,
2018.9521,2018,603.1,55215,64.89204444,,,,,,
2018.9777,2018,603.1,54400,63.9342066,,,,,,
2018.9994,2018,603.1,44400,52.18159509,,,,,,
2019.0311,2019,607.5,41104,47.95804971,,,,,,
2019.0963,2019,607.5,35057,40.90271868,,,,,,
2019.1998,2019,607.5,31025,36.19838683,,,,,,
2019.3151,2019,607.5,35057,40.90271868,,,,,,
2019.4317,2019,607.5,29513,34.43426239,,,,,,
2019.5864,2019,607.5,27245,31.78807572,,,,,,
2019.65,2019,607.5,33293,38.8445735,,,,,,
2019.7784,2019,607.5,36065,42.07880165,,,,,,
2019.9848,2019,607.5,32789,38.25653202,,,,,,
2020.1779,2020,596.2,32537,38.68202885,,,,,,
2020.4228,2020,596.2,30269,35.98568802,,,,,,
2020.6157,2020,596.2,31277,37.18406172,,,,,,
2020.8214,2020,596.2,33293,39.58080912,,,,,,
2021.0143,2021,708.8,35057,35.057,,,,,,
2021.065,2021,708.8,41356,41.356,,,,,,
2021.1156,2021,708.8,48160,48.16,,,,,,
2021.2181,2021,708.8,51940,51.94,,,,,,
2021.3347,2021,708.8,46396,46.396,,,,,,
2021.4635,2021,708.8,45388,45.388,,,,,,
2021.5142,2021,708.8,51436,51.436,,,,,,
2021.7072,2021,708.8,52696,52.696,,,,,,
2021.8352,2021,708.8,58239,58.239,,,,,,
2021.8988,2021,708.8,64287,64.287,,,,,,
2021.9624,2021,708.8,70335,70.335,,,,,,
2022.1421,2022,816,73862,64.15856078,,,,,,
2022.18,2022,816,80162,69.63091373,,,,,,
2022.3473,2022,816,80414,69.84980784,,,,,,
2022.3995,2022,816,74366,64.59634902,,,,,,
2022.4775,2022,816,68319,59.34375882,,,,,,
2022.5041,2022,816,62019,53.87140588,,,,,,
2022.5306,2022,816,55719,48.39905294,,,,,,
2022.5829,2022,816,49420,42.92756863,,,,,,
2022.7242,2022,816,52192,45.33540392,,,,,,
2022.9947,2022,816,50680,44.02203922,,,,,,
2023.0727,2023,797.9,44884,39.87188771,,,,,,
2023.099,2023,797.9,40600,36.06627397,,,,,,
2023.1641,2023,797.9,34553,30.69453114,,,,,,
2023.3831,2023,797.9,33041,29.35137336,,,,,,
2023.4863,2023,797.9,31781,28.2320752,,,,,,
2023.7306,2023,797.9,33545,29.79909262,,,,,,
2023.9499,2023,797.9,30521,27.11277704,,,,,,
2024.2204,2024,800,28757,25.478702,,,,,,
2024.5167,2024,800,27245,24.13907,,,,,,
2024.7616,2024,800,24473,21.683078,,,,,,
2025.0578,2025,810.4,23717,20.74359526,,,,,,
2025.1606,2025,810.4,25229,22.06603554,,,,,,
2025.1984,2025,810.4,31529,27.57620336,,,,,,
2025.3268,2025,810.4,33797,29.55986377,,,,,,
2025.6358,2025,810.4,33545,29.33945706,,,,,,
2025.7639,2025,810.4,38836,33.9671234,,,,,,
2025.7888,2025,810.4,44884,39.2568845,,,,,,
