name,obj,description,ui_units,display_units,rounding,is_input,input_category,is_output,output_category
Leach liquid feed rate,leach_liquid_feed.flow_vol[0],Leach liquid feed volumetric flow rate,L/hour,L/h,2,TRUE,Leaching liquid feed,FALSE,
Leach liquid feed H,"leach_liquid_feed.conc_mass_comp[0,'H']",Leach liquid feed hydrogen mass composition,mg/L,mg/L,3,TRUE,Leaching liquid feed,FALSE,
Leach liquid feed HSO4,"leach_liquid_feed.conc_mass_comp[0,'HSO4']",Leach liquid feed HSO4 mass composition,mg/L,mg/L,3,TRUE,Leaching liquid feed,FALSE,
Leach liquid feed SO4,"leach_liquid_feed.conc_mass_comp[0,'SO4']",Leach liquid feed SO4 mass composition,mg/L,mg/L,3,TRUE,Leaching liquid feed,FALSE,
Leach solid feed inerts,"leach_solid_feed.mass_frac_comp[0, 'inerts']",Leach solid feed inerts fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Al2O3,"leach_solid_feed.mass_frac_comp[0, 'Al2O3']",Leach solid feed Al2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Fe2O3,"leach_solid_feed.mass_frac_comp[0, 'Fe2O3']",Leach solid feed Fe2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed CaO,"leach_solid_feed.mass_frac_comp[0, 'CaO']",Leach solid feed CaO fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Sc2O3,"leach_solid_feed.mass_frac_comp[0, 'Sc2O3']",Leach solid feed Sc2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Y2O3,"leach_solid_feed.mass_frac_comp[0, 'Y2O3']",Leach solid feed Y2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed La2O3,"leach_solid_feed.mass_frac_comp[0, 'La2O3']",Leach solid feed La2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Ce2O3,"leach_solid_feed.mass_frac_comp[0, 'Ce2O3']",Leach solid feed Ce2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Pr2O3,"leach_solid_feed.mass_frac_comp[0, 'Pr2O3']",Leach solid feed Pr2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Nd2O3,"leach_solid_feed.mass_frac_comp[0, 'Nd2O3']",Leach solid feed Nd2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Sm2O3,"leach_solid_feed.mass_frac_comp[0, 'Sm2O3']",Leach solid feed Sm2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Gd2O3,"leach_solid_feed.mass_frac_comp[0, 'Gd2O3']",Leach solid feed Gd2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Leach solid feed Dy2O3,"leach_solid_feed.mass_frac_comp[0, 'Dy2O3']",Leach solid feed Dy2O3 fractional composition,none,none,3,TRUE,Leaching solid feed,FALSE,
Solid feed mass flow,"leach_solid_feed.flow_mass[0]","Leach solid feed mass flow",kg/hour,kg/hr,3,TRUE,Leaching solid feed,FALSE,""
Gas inlet temperature,"roaster.gas_inlet.temperature[0]",Gas inlet temperature,K,K,2,TRUE,Roaster,FALSE,
Gas inlet pressure,"roaster.gas_inlet.pressure[0]",Gas inlet pressure,Pa,Pa,2,TRUE,Roaster,FALSE,
Gas molar flow,"roaster.gas_out[0].flow_mol",Gas molar flow,mol/s,mol/s,3,FALSE,,TRUE,Roaster
Gas temperature,"roaster.gas_outlet.temperature[0]",Gas outlet temperature,K,K,3,FALSE,,TRUE,Roaster
Gas pressure,"roaster.gas_outlet.pressure[0]",Gas outlet pressure,Pa,Pa,2,FALSE,,TRUE,Roaster
